svl,tail,hdep,ljl,dtr,hw,nd,hum,ant,man,di4,sha,cru,foo,to4,wpg,dpg
CTENOPHORUS_CAUDICINCTUS,4.29343594681818,5.05396776536364,2.451460869,3.15030572618182,2.91031577536364,2.839959881,1.94936857427273,2.537555828,2.34506354318182,1.65177712181818,1.97810865109091,3.06873032581818,3.07820837663636,2.56920067427273,2.69926324363636,2.65973124318182,2.54711663790909
CTENOPHORUS_CLAYI,3.8892073072,4.2941898513,2.0499685324,2.6663274069,2.4946334101,2.3850296817,1.5703101829,2.077466028,1.9250016129,1.075526142,1.4591552514,2.3594339082,2.403809016,1.8528075006,1.9636236935,2.1783792021,2.0625215428
CTENOPHORUS_CRISTATUS,4.64158889418182,5.39054745218182,2.66385576118182,3.34147126172727,3.10594703281818,2.97195378181818,2.18783905845455,2.84490162163636,2.633019841,1.85323091863636,2.12564297318182,3.44085808281818,3.46296130645455,2.96017137227273,3.12152230854545,2.94050044936364,2.80587507636364
CTENOPHORUS_DECRESII,4.3608473065,4.9590402775,2.418843282,3.2404994305,3.0076041275,2.923832932,1.9817504915,2.4857701015,2.3653327155,1.7929701935,1.937978522,3.0573722975,2.9862376945,2.5293005665,2.707489887,2.774926996,2.4279551135
CTENOPHORUS_FEMORALIS,3.9503600545,4.99774065175,1.82129394675,2.6186372475,2.38830436075,2.26502890375,1.46362123275,2.0898742145,1.9823938,0.96408004275,1.501176143,2.7136918715,2.79689137725,2.1924421835,2.5676657125,2.15019698975,1.8033847885
CTENOPHORUS_FIONNI,4.37792848233333,4.86980254733333,2.427298028,3.29553810366667,2.99895876033333,2.96587013766667,1.97584838366667,2.47584457666667,2.30486490433333,1.80185636033333,2.190354052,3.08885390133333,3.05936974966667,2.60630429366667,2.61436251766667,2.90020374033333,2.45520490766667
CTENOPHORUS_FORDI,3.87768941916667,4.7814072945,1.90698362625,2.61368466591667,2.40373694725,2.28375692408333,1.49718739383333,2.0972601215,1.92022655508333,1.01695792783333,1.57695235625,2.59846737316667,2.69060924441667,2.11398740691667,2.48198083883333,2.17456628291667,1.93512366975
CTENOPHORUS_GIBBA,4.52603769633333,4.916871731,2.77869737433333,3.31683398666667,3.08224880233333,3.07880245033333,2.14396745933333,2.703580066,2.56555978066667,1.882330721,1.903745843,3.206975643,3.21763860166667,2.71924117,2.635466167,2.94038260133333,2.781392695
CTENOPHORUS_ISOLEPIS,4.0482287625,4.84685810166667,2.07757643066667,2.7974277915,2.56465953783333,2.45239068166667,1.61419060016667,2.30219610333333,2.09953182316667,1.20487073033333,1.66420199633333,2.81915415333333,2.9176662825,2.32535150683333,2.65270902166667,2.3955024195,2.12138744233333
CTENOPHORUS_MACULATUS,3.9613157406,4.8189612016,1.8874914022,2.6805438014,2.4712986394,2.3149061722,1.471621744,2.0856703524,1.9583584678,1.1670617636,1.6759201456,2.6290321958,2.7037267834,2.1974396272,2.4746481622,2.2533667246,1.932620998
CTENOPHORUS_MACULOSUS,4.2477017555,4.605170186,2.3646864335,2.9866461865,2.7909522205,2.74809699,1.901645443,2.3263289575,2.2974417855,1.680916329,1.7605591885,2.80761192,2.7239814565,2.277164009,2.2490900975,2.619377444,2.423319947
CTENOPHORUS_MCKENZIEI,4.244248807,5.12270380566667,2.30117953733333,3.00066379833333,2.762611417,2.604164571,1.759475479,2.35108599733333,2.170528126,1.420739199,1.70274324433333,3.01275416666667,2.97025963633333,2.45122238,2.63680926266667,2.48672346066667,2.355518693
